id,lat,lon,status,install_year,geometry,dong_name
SL_4253,37.236817,127.058928,정상,2004,POINT (205228.9680358009 515296.50107746903),망포동
SL_4254,37.236547,127.058545,정상,2004,POINT (205195.00110740965 515266.5148286271),망포동
SL_4255,37.236277,127.058105,정상,2004,POINT (205155.97601279174 515236.52561342093),망포동
SL_4256,37.23607,127.057649,정상,2004,POINT (205115.5266096562 515213.5275880679),망포동
SL_4257,37.23593,127.057311,정상,2004,POINT (205085.5433314379 515197.9718891377),망포동
SL_4258,37.235795,127.056978,정상,2004,POINT (205056.00328877073 515182.9714750661),망포동
SL_4259,37.235696,127.056657,정상,2004,POINT (205027.52558485043 515171.967157224),망포동
SL_4260,37.235539,127.056234,정상,2004,POINT (204990.00052656783 515154.5205955531),망포동
SL_4261,37.23916,127.058423,정상,2006,POINT (205183.9964778956 515556.50442431634),망포동
SL_4262,37.239088,127.057859,정상,2006,POINT (205133.95644228262 515548.48297879426),망포동
SL_4263,37.239043,127.057521,정상,2006,POINT (205103.96798954936 515543.4705083424),망포동
SL_4264,37.238985,127.057172,정상,2006,POINT (205073.00431693165 515537.01478774013),망포동
SL_4265,37.239021,127.056817,정상,2006,POINT (205041.5019422469 515540.99118314474),망포동
SL_4266,37.238868,127.05702,정상,2006,POINT (205059.5248226458 515524.0217440365),망포동
SL_4267,37.238692,127.057172,정상,2006,POINT (205073.0239521931 515504.4970210497),망포동
SL_4268,37.239085,127.055803,정상,2001,POINT (204951.52321650356 515548.04052967625),망포동
SL_4269,37.239108,127.053194,정상,2001,POINT (204720.01944203512 515550.4598665558),망포동
SL_4270,37.239122,127.05289,정상,2001,POINT (204693.043990102 515551.99850496126),망포동
SL_4271,37.239122,127.052546,정상,2001,POINT (204662.52012442992 515551.98150946526),망포동
SL_4272,37.239113,127.052258,정상,2001,POINT (204636.9658114773 515550.9685266938),망포동
SL_4273,37.239064,127.051717,정상,2001,POINT (204588.9646736412 515545.5040437782),망포동
SL_4274,37.239024,127.051407,정상,2001,POINT (204561.46009102446 515541.0497783263),망포동
SL_4275,37.239294,127.051441,정상,2001,POINT (204564.46070832806 515571.0165952338),망포동
SL_4276,37.239319,127.051636,정상,2001,POINT (204581.7619284647 515573.80056739703),망포동
SL_4277,37.239357,127.051884,정상,2001,POINT (204603.76513764102 515578.029918865),망포동
SL_4278,37.239348,127.052168,정상,2001,POINT (204628.96554529588 515577.0449265684),망포동
SL_4279,37.239044,127.055538,정상,2001,POINT (204928.01184935617 515543.4764361354),망포동
SL_4280,37.239343,127.052444,정상,2001,POINT (204653.4558577743 515576.50354522176),망포동
SL_4281,37.239347,127.052715,정상,2001,POINT (204677.50195782667 515576.960827555),망포동
SL_4282,37.239347,127.052969,정상,2001,POINT (204700.03986143088 515576.9734061002),망포동
SL_4283,37.239334,127.053278,정상,2001,POINT (204727.45883165151 515575.54602196143),망포동
SL_4284,37.23932,127.053538,정상,2001,POINT (204750.53000927722 515574.00528550264),망포동
SL_4285,37.239338,127.053774,정상,2001,POINT (204771.46961157364 515576.0148313188),망포동
SL_4286,37.239275,127.054174,정상,2001,POINT (204806.96637812332 515569.0431891945),망포동
SL_4287,37.239247,127.054445,정상,2001,POINT (204831.0145340468 515565.9494822321),망포동
SL_4288,37.239234,127.054693,정상,2001,POINT (204853.02090888697 515564.51939713495),망포동
SL_4289,37.239225,127.054975,정상,2001,POINT (204878.04392333748 515563.5350494174),망포동
SL_4290,37.239004,127.055267,정상,2001,POINT (204903.9679981331 515539.0230798096),망포동
SL_4291,37.239008,127.054935,정상,2001,POINT (204874.50861467174 515539.4498643169),망포동
SL_4292,37.239018,127.054659,정상,2001,POINT (204850.017858603 515540.5455120695),망포동
SL_4293,37.239018,127.054411,정상,2001,POINT (204828.01225061598 515540.53283721354),망포동
SL_4294,37.239027,127.054123,정상,2001,POINT (204802.45678008263 515541.5170296265),망포동
SL_4295,37.239072,127.053791,정상,2001,POINT (204772.99482596354 515546.4944378592),망포동
SL_4296,37.239081,127.053487,정상,2001,POINT (204746.0196648128 515547.47799547145),망포동
SL_4297,37.23441,127.052171,정상,2013,POINT (204629.5336987731 515029.0154656071),망포동
SL_4298,37.23503,127.055383,정상,2013,POINT (204914.51891723397 515097.9862140182),망포동
SL_4299,37.235098,127.055558,정상,2013,POINT (204930.04345815547 515105.5420916054),망포동
SL_4300,37.235255,127.056008,정상,2013,POINT (204969.96475040133 515122.98980065784),망포동
