SIGNGU,TYPE,AREA_ID,GOMTR_TYPE,PXL_CRDNT,PLAC_CNT
수원시,Feature,다사50ba18aa,Polygon,"[[[126.941769618549, 37.25957973117977], [126.94175298748047, 37.26183313202044], [126.9445722955972, 37.261846391984406], [126.9445888426846, 37.259592990068256], [126.941769618549, 37.25957973117977]]]",0
수원시,Feature,다사50ba18ab,Polygon,"[[[126.94175298748047, 37.26183313202044], [126.9417363545611, 37.264086531994984], [126.9445557466683, 37.264099793034475], [126.9445722955972, 37.261846391984406], [126.94175298748047, 37.26183313202044]]]",2
수원시,Feature,다사50ba18ba,Polygon,"[[[126.9417363545611, 37.264086531994984], [126.94171971979064, 37.266339931103374], [126.94453919589766, 37.26635319321848], [126.9445557466683, 37.264099793034475], [126.9417363545611, 37.264086531994984]]]",0
수원시,Feature,다사50ba18bb,Polygon,"[[[126.94171971979064, 37.266339931103374], [126.94170308316889, 37.26859332934559], [126.94452264328508, 37.268606592536344], [126.94453919589766, 37.26635319321848], [126.94171971979064, 37.266339931103374]]]",2
수원시,Feature,다사50ba19aa,Polygon,"[[[126.94170308316889, 37.26859332934559], [126.94168644469563, 37.270846726721636], [126.94450608883035, 37.27085999098812], [126.94452264328508, 37.268606592536344], [126.94170308316889, 37.26859332934559]]]",3
수원시,Feature,다사50ba19ab,Polygon,"[[[126.94168644469563, 37.270846726721636], [126.94166980437065, 37.273100123231465], [126.94448953253323, 37.27311338857374], [126.94450608883035, 37.27085999098812], [126.94168644469563, 37.270846726721636]]]",6
수원시,Feature,다사50ba19ba,Polygon,"[[[126.94166980437065, 37.273100123231465], [126.94165316219372, 37.27535351887509], [126.94447297439352, 37.27536678529321], [126.94448953253323, 37.27311338857374], [126.94166980437065, 37.273100123231465]]]",3
수원시,Feature,다사50ba19bb,Polygon,"[[[126.94165316219372, 37.27535351887509], [126.94163651816464, 37.27760691365246], [126.94445641441104, 37.2776201811465], [126.94447297439352, 37.27536678529321], [126.94165316219372, 37.27535351887509]]]",5
수원시,Feature,다사50ba20aa,Polygon,"[[[126.94163651816464, 37.27760691365246], [126.94161987228321, 37.27986030756357], [126.9444398525855, 37.27987357613358], [126.94445641441104, 37.2776201811465], [126.94163651816464, 37.27760691365246]]]",0
수원시,Feature,다사50ba20ab,Polygon,"[[[126.94161987228321, 37.27986030756357], [126.94160322454917, 37.28211370060839], [126.94442328891675, 37.28212697025446], [126.9444398525855, 37.27987357613358], [126.94161987228321, 37.27986030756357]]]",0
수원시,Feature,다사50ba20ba,Polygon,"[[[126.94160322454917, 37.28211370060839], [126.94158657496232, 37.28436709278692], [126.94440672340453, 37.284380363509094], [126.94442328891675, 37.28212697025446], [126.94160322454917, 37.28211370060839]]]",0
수원시,Feature,다사50ba20bb,Polygon,"[[[126.94158657496232, 37.28436709278692], [126.94156992352247, 37.28662048409914], [126.94439015604864, 37.28663375589747], [126.94440672340453, 37.284380363509094], [126.94158657496232, 37.28436709278692]]]",0
수원시,Feature,다사50ba21aa,Polygon,"[[[126.94156992352247, 37.28662048409914], [126.94155327022933, 37.288873874545], [126.94437358684888, 37.28888714741957], [126.94439015604864, 37.28663375589747], [126.94156992352247, 37.28662048409914]]]",1
수원시,Feature,다사50ba21ab,Polygon,"[[[126.94155327022933, 37.288873874545], [126.94153661508277, 37.29112726412451], [126.94435701580504, 37.29114053807538], [126.94437358684888, 37.28888714741957], [126.94155327022933, 37.288873874545]]]",2
수원시,Feature,다사50ba21ba,Polygon,"[[[126.94153661508277, 37.29112726412451], [126.94151995808252, 37.29338065283766], [126.94434044291687, 37.293393927864884], [126.94435701580504, 37.29114053807538], [126.94153661508277, 37.29112726412451]]]",5
수원시,Feature,다사50ba21bb,Polygon,"[[[126.94151995808252, 37.29338065283766], [126.9415032992284, 37.295634040684384], [126.94432386818417, 37.29564731678804], [126.94434044291687, 37.293393927864884], [126.94151995808252, 37.29338065283766]]]",1
수원시,Feature,다사50ba22aa,Polygon,"[[[126.9415032992284, 37.295634040684384], [126.94148663852019, 37.29788742766472], [126.94430729160672, 37.297900704844835], [126.94432386818417, 37.29564731678804], [126.9415032992284, 37.295634040684384]]]",0
